action,time,clip,frame,facing,rotation,visualMinY,colliderMinY,weapon
idle-right,2.033,idle,logan_01,1,0.0,-0.008,0.005,Sword
run-right,2.277,run,logan_06,1,0.0,-0.008,0.005,Sword
run-left,2.580,run,logan_05,-1,0.0,-0.008,0.005,Sword
idle-left,2.783,idle,logan_00,-1,0.0,-0.008,0.005,Sword
jump-rise,2.821,rise,logan_08,-1,0.0,0.007,0.207,Sword
jump-apex,3.223,apex,logan_09,-1,0.0,2.218,2.239,Sword
double-jump,3.263,rise,logan_08,-1,0.0,2.248,2.401,Sword
jump-fall,3.466,fall,logan_10,-1,0.0,2.546,2.530,Sword
landing,3.852,land,logan_11,-1,0.0,0.048,0.004,Sword
landing-settled,3.908,land,logan_11,-1,0.0,-0.008,0.005,Sword
sword-0,4.192,attack,logan_12,-1,0.0,-0.008,0.005,Sword
sword-1,4.264,attack,logan_13,-1,0.0,-0.008,0.005,Sword
sword-2,4.334,attack,logan_14,-1,0.0,-0.008,0.005,Sword
sword-3,4.405,attack,logan_15,-1,0.0,-0.008,0.005,Sword
wand-equipped,4.625,idle,logan_00,-1,0.0,-0.008,0.005,SunseedWand
wand-fire-0,4.677,rise,logan_08,-1,0.0,-0.008,0.005,SunseedWand
wand-fire-1,4.729,rise,logan_08,-1,0.0,-0.008,0.005,SunseedWand
wand-fire-2,4.784,rise,logan_08,-1,0.0,-0.008,0.005,SunseedWand
backflip-start,6.406,apex,logan_09,-1,0.0,-0.008,0.005,Sword
backflip-0,6.474,apex,logan_09,-1,306.0,0.160,0.187,Sword
backflip-1,6.547,apex,logan_09,-1,234.0,0.275,0.296,Sword
backflip-2,6.618,apex,logan_09,-1,180.0,0.266,0.277,Sword
backflip-3,6.688,apex,logan_09,-1,108.0,0.136,0.117,Sword
backflip-recovery,7.191,idle,logan_01,-1,0.0,-0.008,0.005,Sword
dash-start,7.216,dash,logan_16,1,0.0,-0.008,0.005,Sword
dash-mid,7.264,dash,logan_17,1,0.0,-0.008,0.005,Sword
dash-end,7.316,dash,logan_18,1,0.0,0.005,0.005,Sword
hurt-start,7.636,hurt,logan_20,1,0.0,0.082,0.115,Sword
hurt-end,7.756,hurt,logan_21,1,0.0,0.265,0.278,Sword
respawn,9.362,idle,logan_01,1,0.0,-0.008,0.005,Sword
victory-a,9.485,victory,logan_22,1,0.0,-0.008,0.005,Sword
victory-b,9.757,victory,logan_23,1,0.0,-0.008,0.005,Sword
