action,time,clip,frame,facing,rotation,visualMinY,colliderMinY,weapon
idle-right,1.922,idle,logan_01,1,0.0,-0.008,0.005,Sword
run-right,2.160,run,logan_05,1,0.0,-0.008,0.005,Sword
run-left,2.464,run,logan_05,-1,0.0,-0.008,0.005,Sword
idle-left,2.680,idle,logan_00,-1,0.0,-0.008,0.005,Sword
jump-rise,2.731,rise,logan_08,-1,0.0,0.099,0.207,Sword
jump-apex,3.122,apex,logan_09,-1,0.0,2.217,2.239,Sword
double-jump,3.173,rise,logan_08,-1,0.0,2.334,2.401,Sword
jump-fall,3.457,fall,logan_10,-1,0.0,2.749,2.756,Sword
landing,3.841,land,logan_11,-1,0.0,0.116,0.004,Sword
sword-0,4.175,attack,logan_12,-1,0.0,-0.008,0.005,Sword
sword-1,4.241,attack,logan_13,-1,0.0,-0.008,0.005,Sword
sword-2,4.308,attack,logan_14,-1,0.0,-0.008,0.005,Sword
sword-3,4.376,attack,logan_15,-1,0.0,-0.008,0.005,Sword
wand-equipped,4.576,idle,logan_00,-1,0.0,-0.008,0.005,Sword
wand-fire-0,4.628,attack,logan_13,-1,0.0,-0.008,0.005,SunseedWand
wand-fire-1,4.694,attack,logan_14,-1,0.0,-0.008,0.005,SunseedWand
wand-fire-2,4.745,attack,logan_15,-1,0.0,-0.008,0.005,SunseedWand
backflip-start,6.395,apex,logan_09,-1,0.0,-0.008,0.005,Sword
backflip-0,6.461,apex,logan_09,-1,288.0,-0.405,0.229,Sword
backflip-1,6.529,apex,logan_09,-1,234.0,-0.990,0.296,Sword
backflip-2,6.596,apex,logan_09,-1,180.0,-1.042,0.277,Sword
backflip-3,6.662,apex,logan_09,-1,108.0,-0.778,0.117,Sword
backflip-recovery,7.178,idle,logan_01,-1,0.0,-0.008,0.005,Sword
dash-start,7.199,dash,logan_16,1,0.0,-0.008,0.005,Sword
dash-mid,7.247,dash,logan_17,1,0.0,-0.008,0.005,Sword
dash-end,7.297,dash,logan_18,1,0.0,0.005,0.005,Sword
hurt-start,7.597,run,logan_07,1,0.0,-0.008,0.005,Sword
hurt-end,7.732,hurt,logan_21,1,0.0,0.264,0.278,Sword
respawn,9.349,idle,logan_01,1,0.0,-0.008,0.005,Sword
victory-a,9.483,victory,logan_22,1,0.0,-0.008,0.005,Sword
victory-b,9.750,victory,logan_23,1,0.0,-0.008,0.005,Sword
